createdAt,code,codeType,attributor,userId,username,action,amount,commissionPercent,country
2026-05-03T13:07:21.412Z,ADBs3Qpn,referral,primary,urn:prp-user:6aT9Vb7zHzbj,Sistem,purchase,0.00,15.00,CM
2026-05-03T12:39:14.798Z,ADBs3Qpn,referral,primary,urn:prp-user:6aT9Vb7zHzbj,Sistem,signup,,15.00,CM
2026-05-03T00:06:12.231Z,ADBs3Qpn,referral,primary,urn:prp-user:nRssBjNCPC2s,GCR,purchase,999.00,15.00,DE
2026-05-02T23:55:56.431Z,ADBs3Qpn,referral,primary,urn:prp-user:nRssBjNCPC2s,GCR,signup,,15.00,DE
2026-05-02T21:15:21.591Z,ADBs3Qpn,referral,primary,urn:prp-user:pjHN2k12pSV5,PreliminaryRoadrunner#9448,signup,,15.00,CA
2026-05-02T18:11:47.406Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,495.00,15.00,ES
2026-05-02T18:10:21.494Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,495.00,15.00,ES
2026-05-02T16:35:50.985Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-05-02T13:31:49.724Z,ADBs3Qpn,referral,primary,urn:prp-user:ygqaXD34rJpk,RoyalCat#6356,purchase,0.00,15.00,TH
2026-05-02T13:31:23.725Z,ADBs3Qpn,referral,primary,urn:prp-user:ygqaXD34rJpk,RoyalCat#6356,signup,,15.00,TH
2026-05-02T00:24:30.150Z,ADBs3Qpn,referral,primary,urn:prp-user:yGrTFFS6mbvW,HarshPerch#8663,purchase,0.00,15.00,US
2026-05-02T00:24:00.034Z,ADBs3Qpn,referral,primary,urn:prp-user:yGrTFFS6mbvW,HarshPerch#8663,signup,,15.00,US
2026-05-01T09:16:05.668Z,ADBs3Qpn,referral,primary,urn:prp-user:YhNuBRS75CtF,UnchangedArmadillo#7179,purchase,0.00,15.00,IN
2026-05-01T09:15:40.858Z,ADBs3Qpn,referral,primary,urn:prp-user:YhNuBRS75CtF,UnchangedArmadillo#7179,signup,,15.00,IN
2026-05-01T01:28:07.448Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,495.00,15.00,ES
2026-04-30T10:46:48.194Z,ADBs3Qpn,referral,primary,urn:prp-user:1W6y3wXKGFii,ReasonableFerret#6369,signup,,15.00,IN
2026-04-30T01:59:32.398Z,ADBs3Qpn,referral,primary,urn:prp-user:VzYPQrwVaayd,ChosenPig#5520,signup,,15.00,US
2026-04-29T00:37:25.529Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-04-29T00:35:43.112Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-04-29T00:34:24.547Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-04-28T08:07:14.521Z,ADBs3Qpn,referral,primary,urn:prp-user:Yg6Fnvxn5yhR,YouthfulSalmon#8245,signup,,15.00,PH
2026-04-27T22:50:18.376Z,ADBs3Qpn,referral,primary,urn:prp-user:M8vpbyVHxxcF,ApparentMoth#6789,purchase,0.00,15.00,MX
2026-04-27T22:48:44.261Z,ADBs3Qpn,referral,primary,urn:prp-user:M8vpbyVHxxcF,ApparentMoth#6789,signup,,15.00,MX
2026-04-26T19:31:30.409Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,495.00,15.00,ES
2026-04-25T21:07:06.407Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-04-25T04:40:18.746Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-04-25T03:15:14.708Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-04-25T03:00:46.909Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-04-25T02:07:16.716Z,ADBs3Qpn,referral,primary,urn:prp-user:S9Zu5p4NTuV8,GracefulAlligator#1915,purchase,0.00,15.00,GB
2026-04-24T20:32:34.863Z,ADBs3Qpn,referral,primary,urn:prp-user:S9Zu5p4NTuV8,GracefulAlligator#1915,signup,,15.00,GB
2026-04-24T15:29:17.819Z,ADBs3Qpn,referral,primary,urn:prp-user:cigWVVppABYC,OutstandingHorse#6582,purchase,275.00,15.00,ES
2026-04-22T11:17:59.748Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,signup,,15.00,ES
2026-04-21T19:44:54.745Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,247.50,15.00,ES
2026-04-21T18:08:10.837Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,247.50,15.00,ES
2026-04-20T19:46:23.925Z,ADBs3Qpn,referral,primary,urn:prp-user:xb6sNcYTusXc,UnlikelyWeasel#8634,signup,,15.00,ES
2026-04-16T23:59:43.414Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,0.00,15.00,ES
2026-04-16T23:58:06.198Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,signup,,15.00,ES
2026-04-16T18:24:21.858Z,ADBs3Qpn,referral,primary,urn:prp-user:cigWVVppABYC,OutstandingHorse#6582,purchase,0.00,15.00,ES
2026-04-16T18:23:22.516Z,ADBs3Qpn,referral,primary,urn:prp-user:cigWVVppABYC,OutstandingHorse#6582,signup,,15.00,ES
2026-04-16T17:51:30.189Z,ADBs3Qpn,referral,primary,urn:prp-user:sFJkLEEprrsg,SufficientAsp#2950,signup,,15.00,ES
2026-04-16T11:49:40.264Z,ADBs3Qpn,referral,primary,urn:prp-user:b6Uj47mY5VFU,UnwillingHookworm#5455,purchase,0.00,15.00,IN
2026-04-16T11:48:38.173Z,ADBs3Qpn,referral,primary,urn:prp-user:b6Uj47mY5VFU,UnwillingHookworm#5455,signup,,15.00,IN
2026-04-16T05:53:28.933Z,ADBs3Qpn,referral,primary,urn:prp-user:y8sw58XsPhmW,YappyHyena#6527,purchase,0.00,15.00,MY
2026-04-16T05:52:42.634Z,ADBs3Qpn,referral,primary,urn:prp-user:y8sw58XsPhmW,YappyHyena#6527,signup,,15.00,MY
